trial_id,short_trial_name,safety_concept,source_pair,five_state_status,generated_comparison_count,grade_A_or_B_count,confirmed_analysis_ready_count,grade_C_count
TRIAL010,INO-VATE ALL,adverse_event_leading_to_discontinuation,publication vs FDA review,unavailable,0,0,0,0
TRIAL010,INO-VATE ALL,adverse_event_leading_to_discontinuation,publication vs ClinicalTrials.gov,not_reported_in_both_sources,0,0,0,0
TRIAL010,INO-VATE ALL,adverse_event_leading_to_discontinuation,FDA review vs ClinicalTrials.gov,unavailable,0,0,0,0
TRIAL010,INO-VATE ALL,dose_interruption,publication vs FDA review,unavailable,0,0,0,0
TRIAL010,INO-VATE ALL,dose_interruption,publication vs ClinicalTrials.gov,not_reported_in_both_sources,0,0,0,0
TRIAL010,INO-VATE ALL,dose_interruption,FDA review vs ClinicalTrials.gov,unavailable,0,0,0,0
TRIAL010,INO-VATE ALL,dose_reduction,publication vs FDA review,unavailable,0,0,0,0
TRIAL010,INO-VATE ALL,dose_reduction,publication vs ClinicalTrials.gov,not_reported_in_both_sources,0,0,0,0
TRIAL010,INO-VATE ALL,dose_reduction,FDA review vs ClinicalTrials.gov,unavailable,0,0,0,0
TRIAL011,GO29365,any_adverse_event,publication vs FDA review,not_reported_in_both_sources,0,0,0,0
TRIAL011,GO29365,any_adverse_event,publication vs ClinicalTrials.gov,not_reported_in_both_sources,0,0,0,0
TRIAL011,GO29365,any_adverse_event,FDA review vs ClinicalTrials.gov,not_reported_in_both_sources,0,0,0,0
TRIAL011,GO29365,grade_3_or_higher_adverse_event,publication vs FDA review,not_reported_in_both_sources,0,0,0,0
TRIAL011,GO29365,grade_3_or_higher_adverse_event,publication vs ClinicalTrials.gov,not_reported_in_both_sources,0,0,0,0
TRIAL011,GO29365,grade_3_or_higher_adverse_event,FDA review vs ClinicalTrials.gov,not_reported_in_both_sources,0,0,0,0
TRIAL011,GO29365,serious_adverse_event,publication vs FDA review,not_reported_in_both_sources,0,0,0,0
TRIAL011,GO29365,serious_adverse_event,publication vs ClinicalTrials.gov,not_reported_in_both_sources,0,0,0,0
TRIAL011,GO29365,serious_adverse_event,FDA review vs ClinicalTrials.gov,reported_but_non_comparable,22,0,0,22
TRIAL011,GO29365,fatal_adverse_event,publication vs FDA review,reported_but_non_comparable,4,0,0,4
TRIAL011,GO29365,fatal_adverse_event,publication vs ClinicalTrials.gov,reported_but_non_comparable,22,0,0,22
TRIAL011,GO29365,fatal_adverse_event,FDA review vs ClinicalTrials.gov,reported_but_non_comparable,22,0,0,22
TRIAL011,GO29365,adverse_event_leading_to_discontinuation,publication vs FDA review,not_reported_in_both_sources,0,0,0,0
